Report Mai 2026 - alle Benutzer, gruppiert nach Tagen
Repos: ImagingTools/Acf, ImagingTools/AcfSln, ImagingTools/ImtCore, ImagingTools/Agentino

2026-05-01 (1 Commits)
- [ImagingTools/ImtCore] ff12962 | kucherenkord-cyber | Merge pull request #439 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] bb3048a | Copilot | Update core.js and rebuild main.js: register Popup/Dialog/ToolTip/Drawer/Overlay under QtQuick_Controls and ColumnLayout under QtQuick_Layouts in JQModules
- [ImagingTools/ImtCore] bf7257f | kucherenkord-cyber | Merge pull request #456 from ImagingTools/webcompiler-fix
- [ImagingTools/ImtCore] c4eb760 | Copilot | Fix "Cannot redefine property: pressed" — remove pressed from Overlay defaultSignals, patch main.js
- [ImagingTools/ImtCore] c9d4695 | Copilot | Remove Dialog.js from JQML v2: delete file, unregister from list.js and core.js, patch main.js
- [ImagingTools/ImtCore] cb7ea81 | Copilot | Fix "Cannot redefine property: opened" — remove opened from Popup defaultSignals (conflicts with opened property)
- [ImagingTools/ImtCore] cc357ac | Copilot | Add Accept/Reject buttons for Invited tenants in TenantCollectionView
- [ImagingTools/ImtCore] ccf6f8f | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] d6cb4e7 | Copilot | Replace GetElementInfo for InvitationId/InvitedByName with ITenantInvitationManager lookup
- [ImagingTools/ImtCore] da2157e | Copilot | Add CRemoteTenantMembershipManagerControllerComp
- [ImagingTools/ImtCore] e1559d1 | kucherenkord-cyber | Merge branch 'main' into copilot/add-cremote-tenant-membership-manager-controller-c
- [ImagingTools/ImtCore] e62591d | Copilot | Fix SQL error for admin users: always use TenantRelationScope subquery
- [ImagingTools/ImtCore] f33a417 | Copilot | Show pending invitations in TenantCollectionView with Accept/Reject buttons
- [ImagingTools/ImtCore] f535897 | Copilot | Remove duplicate SDL operations: InviteTenantMember, AcceptTenantMembershipInvitation, RejectTenantMembershipInvitation
- [ImagingTools/ImtCore] fcc8059 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] fcdb3d1 | ExternalVladimirCherepanov | CCollectionDocumentManagerTest fixes

2026-05-13 (50 Commits)
- [ImagingTools/Agentino] 826fb83 | Copilot | Add OnComponentDestroyed to CServiceControllerComp to stop managed services on shutdown
- [ImagingTools/Agentino] dd1bfd1 | Copilot | Add error logging for StopService failures during shutdown
- [ImagingTools/ImtCore] 02e923d | Artur1309 | update tests
- [ImagingTools/ImtCore] 07bba48 | Copilot | Refactor CreateDeleteObjectsQuery to reuse CreatePermissionsDeleteQuery helper
- [ImagingTools/ImtCore] 0b2c412 | Artur1309 | Merge pull request #463 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 0e9cf8e | Copilot | Add missing QMake projects to match CMake, fix EagleView CMake (#469)
- [ImagingTools/ImtCore] 15e04c9 | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 1d854b0 | Copilot | Add TenantPermissions SQL table with auto-creation and CRUD in CTenantDbDelegateComp
- [ImagingTools/ImtCore] 22056d1 | Copilot | Implement GetTenantPermissions/SetTenantPermissions in CTenantInfo
- [ImagingTools/ImtCore] 23304e5 | Copilot | Log invalid WebSocket request in RegisterSubscription
- [ImagingTools/ImtCore] 326f4d7 | Copilot | Add allProductPermissions field with IFeatureInfoProvider for Permissions page data
- [ImagingTools/ImtCore] 35feab0 | Copilot | Change RegisterSubscriptionImpl to void return type
- [ImagingTools/ImtCore] 38e902a | Copilot | Fix review comments: use qsTr for localized format string, add comment for refresh logic
- [ImagingTools/ImtCore] 3f95eb3 | Copilot | Replace IFeatureInfoProvider with IProductInfo in CTenantCollectionDocumentManagerComp
- [ImagingTools/ImtCore] 4dcecb6 | kucherenkord-cyber | Merge branch 'main' into copilot/add-cremote-tenant-membership-manager-controller-c
- [ImagingTools/ImtCore] 52a3cc1 | Copilot | Fix QML style: access delegate properties via id, replace text:{} blocks with ternary/helper
- [ImagingTools/ImtCore] 5c6e07a | kucherenkord-cyber | Merge pull request #457 from ImagingTools/copilot/add-cremote-tenant-membership-manager-controller-c
- [ImagingTools/ImtCore] 6124317 | kirill-lepski | Login fixed (#470)
- [ImagingTools/ImtCore] 6b958fc | Copilot | Add TransferTenantOwnership mutation and tenant-scoped roles to SDL and server-side
- [ImagingTools/ImtCore] 7716dde | Copilot | Optimize: check Owner role string before map lookup to avoid unnecessary conversion
- [ImagingTools/ImtCore] 7975e1d | Copilot | Change tenantPermissions from QString to QByteArrayList ([ID] in SDL)
- [ImagingTools/ImtCore] 79a166b | Copilot | Fix: consistent action column width in Members table — ComboBoxes aligned, Leave button constrained
- [ImagingTools/ImtCore] 7ee3350 | Copilot | Add rollback logic to TransferTenantOwnership for consistency on partial failures
- [ImagingTools/ImtCore] 7f502ea | victorscherbina | WebSocketServletComp corrected
- [ImagingTools/ImtCore] 7f70702 | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] 808c865 | Copilot | Fix Members/Permissions pages never appearing by reacting to isNewTenant changes
- [ImagingTools/ImtCore] 80e92cc | Copilot | Protect owner from being removed on server side
- [ImagingTools/ImtCore] 8158b19 | Copilot | Fix: Owner row shows static "Owner" text instead of empty ComboBox
- [ImagingTools/ImtCore] 8c0ac67 | Copilot | Prevent invited users from editing Tenant (GUI + server)
- [ImagingTools/ImtCore] 9007731 | kucherenkord-cyber | Merge branch 'main' into copilot/add-cremote-tenant-membership-manager-controller-c
- [ImagingTools/ImtCore] 950c6c7 | Copilot | Simplify __currentUserRole ternary: use !m_currentUserId instead of !(x || "")
- [ImagingTools/ImtCore] 9acae78 | kucherenkord-cyber | Popup corrected
- [ImagingTools/ImtCore] b541ba4 | Artur1309 | Merge pull request #462 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] b9e0a77 | Artur1309 | revert gitignore
- [ImagingTools/ImtCore] ba21a40 | Artur1309 | add new tests
- [ImagingTools/ImtCore] be93090 | Artur1309 | Merge pull request #466 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] c00a767 | SERZSH1909 | Simplify ImtCoreQtRhiCompat.cmake by removing redundant checks and comments
- [ImagingTools/ImtCore] c268d0b | kucherenkord-cyber | Partitura corrected | Menu/Popup visual fixed
- [ImagingTools/ImtCore] c81732a | Copilot | Remove Owner from assignable roles, fix role change detection bug
- [ImagingTools/ImtCore] c8d7ef3 | Copilot | Refactor TenantEditor.qml to MultiPageView with General, Members, and Roles pages
- [ImagingTools/ImtCore] c9630e4 | Copilot | Merge Members + Member Roles into unified editor, add invitation expiration display
- [ImagingTools/ImtCore] cc88b45 | Copilot | Fix trailing whitespace in TenantEditor.qml
- [ImagingTools/ImtCore] ccaad8e | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] d5e0b41 | Artur1309 | add TestCase
- [ImagingTools/ImtCore] de1a0ad | Copilot | Merge Members+Invitations into unified table, refresh after invite, Owner role protection (GUI+server), role-based access control
- [ImagingTools/ImtCore] e214e9f | VekhterAleksandr | qml. ButtonDecorator improved
- [ImagingTools/ImtCore] e413788 | Copilot | Add Leave button for members, fix Owner role protection in ComboBox, allow self-removal on server
- [ImagingTools/ImtCore] e708cd3 | Copilot | Replace ITenantRole with IRole pattern: remove ITenantRole.h, replace Roles page with Permissions page using TreeView permission selector, replace tenantRoles SDL field with tenantPermissions string
- [ImagingTools/ImtCore] ee6c7d9 | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] fa64cc7 | kucherenkord-cyber | Partitura corrected

2026-05-14 (35 Commits)
- [ImagingTools/ImtCore] 0170d0b | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 067dbfb | Artur1309 | update Controls and add new tests
- [ImagingTools/ImtCore] 0c4e359 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 0ceef42 | Copilot | Move Transfer Ownership from General page dialog to per-member button in Members page
- [ImagingTools/ImtCore] 0db736b | Artur1309 | add new tests
- [ImagingTools/ImtCore] 137a4d6 | Copilot | Replace prop: {} block syntax with ternary operators, revert main.js changes
- [ImagingTools/ImtCore] 1f396af | Copilot | Rewrite BasicTreeView.qml to inherit from JQML2 TreeView with built-in tristate, filter, and delegate; simplify TreeViewElementView.qml
- [ImagingTools/ImtCore] 1f8dc45 | kucherenkord-cyber | QML cosmetics\Partitura corrected
- [ImagingTools/ImtCore] 3bf62e5 | Copilot | Fix roleCollectionDataProvider.collectionModel usage: use TreeItemModel API (getData/getItemsCount/containsKey) instead of BaseModel patterns
- [ImagingTools/ImtCore] 624363d | Copilot | Replace BasicTreeView internals in TreeViewElementView.qml with ListView-based tree + SearchTextInput filter
- [ImagingTools/ImtCore] 645bde8 | Copilot | SQL: change Role column from INTEGER to TEXT in TenantMemberships and TenantInvitations tables (Postgres + SQLite)
- [ImagingTools/ImtCore] 690e4a6 | Copilot | Replace BasicTreeView in TreeViewElementView with standard QML TreeView + text filter
- [ImagingTools/ImtCore] 6b6b15c | Copilot | Load roles via RoleCollectionDataProvider, fix self-transfer in GUI with empty-list message
- [ImagingTools/ImtCore] 72768d4 | Artur1309 | Merge pull request #478 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 72e8979 | Artur1309 | Merge pull request #477 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 757566e | Copilot | Rewrite TreeViewElementView.qml — remove addRow/insertRow/removeRow/getRow/setRow, clean QML solution
- [ImagingTools/ImtCore] 7a5ee7a | Copilot | Rewrite TreeViewElementView.qml to use JQML2 TreeView instead of custom ListView implementation
- [ImagingTools/ImtCore] 7df4e5c | Artur1309 | add new tests
- [ImagingTools/ImtCore] 7fc9718 | kucherenkord-cyber | JQML2 new components added
- [ImagingTools/ImtCore] 8d55389 | Copilot | Remove ITenantMembership::TenantMemberRole enum — role is now QByteArray; simplify ComboBox currentIndex to use roleCombo.currentIndex
- [ImagingTools/ImtCore] a1675c4 | Copilot | Fix Members display by using explicit property for Repeater model; redesign MultiPageView with GitHub Settings-style left sidebar
- [ImagingTools/ImtCore] a529d32 | Copilot | Fix code review feedback: use named constants for indent/prefix widths, fix ChildModel parent
- [ImagingTools/ImtCore] a8d048a | Artur1309 | Merge pull request #471 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] a8d4f77 | Artur1309 | update Text, readonly property(bug)
- [ImagingTools/ImtCore] ab0719b | Copilot | Move allProductPermissions to ProLife-side CRemoteTenantCollectionDocumentManagerControllerComp with leaf-only permissions
- [ImagingTools/ImtCore] b0298c5 | Copilot | Fix TreeItemModel API: use lowercase getData/getItemsCount from TreeItemModel.js
- [ImagingTools/ImtCore] b2a00f6 | Copilot | Extract GetProductId() helper in CTenantDbDelegateComp to reduce duplication
- [ImagingTools/ImtCore] b33b601 | Copilot | Fix CollectLeafPermissions to use TElementList directly, avoiding intermediate allocations
- [ImagingTools/ImtCore] ba4e3c8 | Artur1309 | Merge pull request #472 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] bb1b443 | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] c1f591c | Copilot | Fix containsKey TypeError: use GetData directly instead of containsKey for role model access
- [ImagingTools/ImtCore] d01eda1 | kucherenkord-cyber | Merge branch 'copilot/add-tenant-owner-transfer' of https://github.com/ImagingTools/ImtCore into copilot/add-tenant-owner-transfer
- [ImagingTools/ImtCore] e22701c | Copilot | Fix code review: simplify Image visibility to use boolean directly
- [ImagingTools/ImtCore] f0fd18d | Copilot | Remove static roles, add ProductId to TenantPermissions, filter CPermissionsProviderComp by tenant, prevent self-transfer
- [ImagingTools/ImtCore] ff06419 | Copilot | Create CheckableTreeView reusable component; revert BasicTreeView to original; simplify TreeViewElementView

2026-05-15 (50 Commits)
- [ImagingTools/ImtCore] 0433b12 | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 0a31ab6 | victorscherbina | WebSocket partitura corrected
- [ImagingTools/ImtCore] 10fb4e8 | Copilot | BasicTreeView: use Style colors, remove borders, remove displayValue, add keyboard navigation, remove console.log
- [ImagingTools/ImtCore] 1131c53 | Copilot | Merge origin/main — resolve conflict in main.js (accept main's version)
- [ImagingTools/ImtCore] 17edb56 | Copilot | Delete CheckableTreeView, move TreeView.qml code into BasicTreeView, add new QML to qrc
- [ImagingTools/ImtCore] 1908a09 | Copilot | TreeViewElementView: pin filter at top with 350px max scroll region, anchor BasicTreeView to fill remaining space
- [ImagingTools/ImtCore] 1934c09 | kucherenkord-cyber | Merge branch 'copilot/add-tenant-owner-transfer' of https://github.com/ImagingTools/ImtCore into copilot/add-tenant-owner-transfer
- [ImagingTools/ImtCore] 1d9ef9c | Copilot | BasicTreeView: restore selected text color distinction
- [ImagingTools/ImtCore] 201c2f5 | kucherenkord-cyber | Merge branch 'main' into copilot/fix-tabs-collection-view-logic
- [ImagingTools/ImtCore] 27b5875 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 310d482 | Copilot | Simplify TreeModelBuilder, add filtering/tristate to BasicTreeView, rewrite TreeViewElementView bridge
- [ImagingTools/ImtCore] 3390abf | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 3c1a5d6 | kucherenkord-cyber | Merge pull request #482 from ImagingTools/copilot/fix-tabs-collection-view-logic
- [ImagingTools/ImtCore] 41f2b33 | Copilot | TreeViewElementView: extract maxTreeHeight property (350) from hardcoded value
- [ImagingTools/ImtCore] 4a33c00 | Artur1309 | Merge pull request #486 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 4ad9030 | Artur1309 | add new tests. fix compiler
- [ImagingTools/ImtCore] 4cb21f2 | kucherenkord-cyber | Merge branch 'copilot/add-tenant-owner-transfer' of https://github.com/ImagingTools/ImtCore into copilot/add-tenant-owner-transfer
- [ImagingTools/ImtCore] 4f81299 | Copilot | Simplify collectionTabId check in onTabLoaded
- [ImagingTools/ImtCore] 5777643 | VekhterAleksandr | Qml. MultiDocumentCollection view, tab visibility
- [ImagingTools/ImtCore] 5943b9d | kucherenkord-cyber | index on copilot/add-tenant-owner-transfer: a97d10185f Fix BasicTreeView delegate: use explicit model properties for JQML compatibility
- [ImagingTools/ImtCore] 5e06617 | Artur1309 | fix 3d (demo test)
- [ImagingTools/ImtCore] 62c173e | Copilot | Remove duplicate checkedItemsChanged emissions from checkItem/uncheckItem
- [ImagingTools/ImtCore] 677cd96 | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 6844c48 | Copilot | Fix: allow negative values in IntegerInputElementView by checking acceptableInput (#476)
- [ImagingTools/ImtCore] 7004968 | Copilot | Remove permissionsModel TreeItemModel conversion — use m_allProductPermissions directly via TreeModelBuilder.fromListModel; add implicitHeight to BasicTreeView
- [ImagingTools/ImtCore] 7806b6d | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 78ee306 | Copilot | Fix QMake linker errors: missing library deps in ImtChatGqlPck and ImtDeskGqlPck (#483)
- [ImagingTools/ImtCore] 8427b4f | kucherenkord-cyber | On copilot/add-tenant-owner-transfer: test
- [ImagingTools/ImtCore] 8818043 | Copilot | Optimize QML: use Style.spacingXS in sidebar, extract contentWidth property, remove z:5
- [ImagingTools/ImtCore] 889069f | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 8a13603 | Artur1309 | Merge pull request #481 from ImagingTools/JQML2-3D-fix
- [ImagingTools/ImtCore] 8f5a5a5 | Copilot | BasicTreeView: make filterDebounceInterval configurable, clean up matchMap literal
- [ImagingTools/ImtCore] 96c67fc | Copilot | Fix tab component logic: use pinned property instead of hardcoded index===0
- [ImagingTools/ImtCore] 9919fd6 | Copilot | BasicTreeView: fix hover index bug, add filter debounce, optimize DFS filtering
- [ImagingTools/ImtCore] 9fa3e89 | Copilot | Fix BasicTreeView: tristate checkbox at delegate start, full-row hover, single column full width, scrollable tree with pinned filter
- [ImagingTools/ImtCore] a97d101 | Copilot | Fix BasicTreeView delegate: use explicit model properties for JQML compatibility
- [ImagingTools/ImtCore] b4bd2fa | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] b769843 | ShcherbinaVA | Merge branch 'main' into copilot/add-i-ref-to-cwebsocketservletcomp
- [ImagingTools/ImtCore] c2d171e | Artur1309 | Merge pull request #479 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] c56e63a | Copilot | Fix TenantPermissions.h doc: ManageMembers covers AddMembership too
- [ImagingTools/ImtCore] c66c3d6 | Copilot | Fix Invitation logic: Owner bypasses permission checks; define tenant permission constants (tenant.invite, tenant.view_members, tenant.manage_members, tenant.manage_invitations)
- [ImagingTools/ImtCore] d653f28 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] e22687f | Artur1309 | add new tests
- [ImagingTools/ImtCore] e5d3a5e | Copilot | Fix tristate checkbox: disable CheckBox internal click, wire MouseArea to toggleCheckState for tree propagation
- [ImagingTools/ImtCore] e97fc0c | Copilot | Restore http_parser.c compilation in imtrest QMake build (#484)
- [ImagingTools/ImtCore] ed80c83 | Copilot | BasicTreeView: add toolbar with Expand All / Collapse All / Check All / Uncheck All buttons
- [ImagingTools/ImtCore] f1926fe | Copilot | Remove bridge from TreeViewElementView — use BasicTreeView directly; update TenantEditor and RoleView to use TreeModelBuilder + native BasicTreeView API
- [ImagingTools/ImtCore] f46e65f | kucherenkord-cyber | COsmetics
- [ImagingTools/ImtCore] f489035 | Copilot | Make allProductPermissions a tree structure in SDL and server logic
- [ImagingTools/ImtCore] f8b1602 | kucherenkord-cyber | Add editable TreeView components

2026-05-16 (7 Commits)
- [ImagingTools/ImtCore] 208aa1e | Copilot | Fix tree display, owner-only editing, Permissions tab for owner, org submenu in UserPanel, current tenant display
- [ImagingTools/ImtCore] 3a8cbe9 | Copilot | Fix tree display, clean up Invitation from ITenantMembershipManager, delete TenantPermissions.h
- [ImagingTools/ImtCore] 77df643 | Copilot | Add comment for temporarily hidden role ComboBox
- [ImagingTools/ImtCore] 82b5d6d | Copilot | Encrypt database password in XML configuration files (#488)
- [ImagingTools/ImtCore] 90022f6 | Copilot | Fix Permissions page visibility for Owner, remove role display, improve Members list
- [ImagingTools/ImtCore] c6aeace | Copilot | Rename imtdoc::IDocumentManager → IDocumentService (#487)
- [ImagingTools/ImtCore] da5e4f3 | Copilot | Remove all contents from Install directory - nothing to install currently (#489)

2026-05-17 (9 Commits)
- [ImagingTools/ImtCore] 108355e | Copilot | Remove all role logic from TenantEditor QML — owner-only editing, no role display or management
- [ImagingTools/ImtCore] 1b62a9b | Copilot | Optimize BasicTreeView: skip writeBackNode in expandAll/collapseAll, avoid full rebuild in checkAll/uncheckAll; add ScrollBar to TreeViewElementView
- [ImagingTools/ImtCore] 2280fcf | Copilot | Merge remote-tracking branch 'origin/main' into copilot/add-tenant-owner-transfer
- [ImagingTools/ImtCore] 3e5b1fd | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 4fcf124 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] bd84e98 | kucherenkord-cyber | Merge branch 'copilot/add-tenant-owner-transfer' of https://github.com/ImagingTools/ImtCore into copilot/add-tenant-owner-transfer
- [ImagingTools/ImtCore] e1ad04c | Copilot | Fix TreeViewElementView: remove Flickable wrapper, pin filter/toolbar, add CustomScrollbar on ListView; add tooltips to Members buttons
- [ImagingTools/ImtCore] e338955 | kucherenkord-cyber | QML bugs fixing
- [ImagingTools/ImtCore] f5a88aa | kucherenkord-cyber | QML cosmetics

2026-05-18 (25 Commits)
- [ImagingTools/Agentino] 444998d | kirill-lepski | Merge pull request #30 from ImagingTools/copilot/extend-agentinoagent-service-termination
- [ImagingTools/Agentino] 6b7d860 | kirill-lepski | Merge pull request #32 from ImagingTools/copilot/update-directory-structure-installers
- [ImagingTools/Agentino] a10fece | Copilot | Restructure installer directories under Install
- [ImagingTools/Agentino] b5b0388 | Copilot | Remove legacy installer scripts from Install root
- [ImagingTools/ImtCore] 0194c38 | kucherenkord-cyber | Merge pull request #491 from ImagingTools/qml-corrected
- [ImagingTools/ImtCore] 03dd5f2 | Copilot | Revert "Merge branch 'copilot/add-i-ref-to-cwebsocketservletcomp' of https://github.com/ImagingTools/ImtCore into qml-cosmetics"
- [ImagingTools/ImtCore] 1be5f05 | Copilot | fix: editNextCell defaults to column 0 instead of 1
- [ImagingTools/ImtCore] 1f2a2df | Copilot | Fix OnMembershipNotification: enable JWT/PAT auth in WebSocket subscriptions
- [ImagingTools/ImtCore] 4406b1b | Copilot | Remove organizations from ProfileData SDL, add GetUserOrganizations query, fix Sessions.sdl line endings
- [ImagingTools/ImtCore] 464ebcb | kucherenkord-cyber | Syntax corrected
- [ImagingTools/ImtCore] 563f2b1 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] 6930b5e | Copilot | fix: account for BasicTreeView y-offset in Flickable scroll calculation
- [ImagingTools/ImtCore] 71913ad | kucherenkord-cyber | Merge pull request #467 from ImagingTools/copilot/add-tenant-owner-transfer
- [ImagingTools/ImtCore] 72a4454 | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 8be8a24 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 9512e51 | Copilot | fix: scroll external Flickable on keyboard navigation in BasicTreeView
- [ImagingTools/ImtCore] a092e57 | Copilot | Merge branch 'copilot/add-i-ref-to-cwebsocketservletcomp' of https://github.com/ImagingTools/ImtCore into qml-cosmetics
- [ImagingTools/ImtCore] bb91b69 | Copilot | Merge branch 'copilot/fix-tenant-undo-changed-data' of https://github.com/ImagingTools/ImtCore into qml-cosmetics
- [ImagingTools/ImtCore] bc82843 | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] cae1ba3 | Copilot | Rename CRemoteTenantCollectionDocumentManagerControllerComp → CRemoteTenantCollectionDocumentServiceControllerComp per PR #487 naming convention
- [ImagingTools/ImtCore] cbea6b6 | kucherenkord-cyber | Merge branch 'main' into copilot/add-i-ref-to-cwebsocketservletcomp
- [ImagingTools/ImtCore] dc45e1b | kucherenkord-cyber | QML fixing
- [ImagingTools/ImtCore] dda9968 | Copilot | Fix GetUndoManagerNextModelId to check all users and shared documents for modelId collisions
- [ImagingTools/ImtCore] ebe90a2 | Copilot | feat: simplify TreeModelBuilder API, add inline editing to BasicTreeView, integrate membership subscriptions
- [ImagingTools/ImtCore] fd571de | Copilot | Remove organizations from ProfileView, fix currentTenantName persistence, fix TreeModelBuilder child model API casing

2026-05-19 (50 Commits)
- [ImagingTools/Agentino] 0824d91 | Copilot | Adapt code to ImtCore PR #487: Rename DocumentManager → DocumentService
- [ImagingTools/Agentino] 0e23a82 | kucherenkord-cyber | QML corrected
- [ImagingTools/Agentino] 81818bd | kucherenkord-cyber | Merge branch 'main' of https://github.com/ImagingTools/Agentino
- [ImagingTools/Agentino] c8467ae | kucherenkord-cyber | Merge pull request #33 from ImagingTools/copilot/adapt-code-to-changes-487
- [ImagingTools/ImtCore] 100e4e3 | kucherenkord-cyber | Gallery files updated
- [ImagingTools/ImtCore] 12eb193 | kucherenkord-cyber | Merge branch 'main' into copilot/refactor-tenant-membership-subscription
- [ImagingTools/ImtCore] 1b9d89a | ShcherbinaVA | Merge branch 'main' into NewWebSocket
- [ImagingTools/ImtCore] 288a40c | victorscherbina | Partitura corrected
- [ImagingTools/ImtCore] 28b76b1 | kucherenkord-cyber | Merge pull request #495 from ImagingTools/copilot/refactor-tenant-membership-subscription
- [ImagingTools/ImtCore] 2a0d46c | Copilot | feat: replace ♛ symbol with Crown.svg icon as Image element
- [ImagingTools/ImtCore] 2fb0b85 | Copilot | fix: replace static colors with Style properties and simplify JS block syntax
- [ImagingTools/ImtCore] 3827ec7 | kucherenkord-cyber | Merge branch 'main' into copilot/analyze-user-settings-issue
- [ImagingTools/ImtCore] 3f09e78 | ShcherbinaVA | Merge branch 'main' into NewWebSocket
- [ImagingTools/ImtCore] 4163992 | kucherenkord-cyber | Merge pull request #497 from ImagingTools/gallery-fixed
- [ImagingTools/ImtCore] 421cb72 | Copilot | Generalize TenantMembershipSubscriptionClient to handle ownership transfer notifications
- [ImagingTools/ImtCore] 42486ff | Copilot | Add JQML v3 QML-to-Web compiler documentation (#263)
- [ImagingTools/ImtCore] 43f522b | ShcherbinaVA | Merge branch 'main' into NewWebSocket
- [ImagingTools/ImtCore] 4bad89e | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 4c9684f | kucherenkord-cyber | Merge branch 'main' into gallery-fixed
- [ImagingTools/ImtCore] 4e46c1f | ShcherbinaVA | Merge branch 'main' into NewWebSocket
- [ImagingTools/ImtCore] 4f214a3 | kucherenkord-cyber | Merge pull request #496 from ImagingTools/qml-cleanup
- [ImagingTools/ImtCore] 545eede | Copilot | fix: use QByteArrayLiteral for role string comparisons
- [ImagingTools/ImtCore] 5e29f00 | Copilot | fix: restore FilterableSelectPopup invite, remove UUID, use QML Menu for actions
- [ImagingTools/ImtCore] 62f630a | Copilot | refactor: implement full Members Management GUI for TenantEditor
- [ImagingTools/ImtCore] 695019a | kucherenkord-cyber | Merge branch 'main' into NewWebSocket
- [ImagingTools/ImtCore] 6cd8585 | Copilot | Add comprehensive Ticket/Tenant test suite (135 tests across 7 projects)
- [ImagingTools/ImtCore] 7356239 | Copilot | refactor: remove redundant __getMemberRole wrapper, use __getUserRole directly
- [ImagingTools/ImtCore] 78a7fba | kucherenkord-cyber | Merge branch 'main' into copilot/analyze-user-settings-issue
- [ImagingTools/ImtCore] 797be02 | Copilot | Fix empty UserId being saved to UserSettings database table
- [ImagingTools/ImtCore] 79d12eb | VekhterAleksandr | Qml. GraphicsView components improved
- [ImagingTools/ImtCore] 7a42999 | Copilot | Make CTenantMembershipPublisherComp thread-safe with QRecursiveMutex
- [ImagingTools/ImtCore] 7d7a0ef | Copilot | feat(server): implement environment roles (Creator/Owner/Admin/Member) with creatorId, role-based access control, and proper memberRoles population
- [ImagingTools/ImtCore] 83cf3b4 | Copilot | fix: address code review feedback - remove Layout.fillWidth in Row, extract invite logic
- [ImagingTools/ImtCore] 8abd8f8 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 8ed8489 | kucherenkord-cyber | Merge pull request #494 from ImagingTools/NewWebSocket
- [ImagingTools/ImtCore] 915d09d | Copilot | Merge branch 'copilot/add-i-ref-to-cwebsocketservletcomp' into NewWebSocket
- [ImagingTools/ImtCore] 97deb4b | kucherenkord-cyber | Merge pull request #498 from ImagingTools/copilot/analyze-user-settings-issue
- [ImagingTools/ImtCore] 9c90dad | Copilot | fix: remove unused __pendingMenuActions property
- [ImagingTools/ImtCore] 9e49a21 | kucherenkord-cyber | Merge branch 'main' into copilot/analyze-user-settings-issue
- [ImagingTools/ImtCore] a44b3f4 | kucherenkord-cyber | Merge branch 'main' into copilot/implement-ticket-tenant-tests
- [ImagingTools/ImtCore] a7889b7 | kucherenkord-cyber | Merge branch 'main' into copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] ab8d2e4 | kucherenkord-cyber | Merge pull request #492 from ImagingTools/qml-cosmetics
- [ImagingTools/ImtCore] b50a6ec | Copilot | feat: add section separators, fix pending invitations style, Row badges, environment roles (Creator/Owner/Admin/Member), Roles/Groups pages
- [ImagingTools/ImtCore] bdf30a2 | kucherenkord-cyber | QML cleanup
- [ImagingTools/ImtCore] c490ffc | Copilot | refactor: introduce TenantEnvironmentRole C++ enum (TER_MEMBER/TER_ADMIN/TER_OWNER/TER_CREATOR) in ITenantMembership, replace string-based role storage with enum-based
- [ImagingTools/ImtCore] da3a746 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] e708bd4 | Copilot | fix: simplify members summary text binding to ternary expression
